"id","name","detail_category_account_id","cash_flow","created_at","updated_at"
"9b461c64-1e13-4e74-8874-ee3449a0744a","Kas","9b4614b2-68e8-45f6-896e-5c33e818e7c1","undefined","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-2663-46b7-8843-12ac16610a92","Bank","9b4614b2-68e8-45f6-896e-5c33e818e7c1","undefined","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-3217-4fee-8195-c3e20ce3c0e5","Akun Piutang","9b4614b2-68e8-45f6-896e-5c33e818e7c1","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-392c-44a0-8b56-2405c803cac9","Persediaan","9b4614b2-68e8-45f6-896e-5c33e818e7c1","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-416f-4019-ab9d-e128edd0019d","Aktiva Lancar Lainnya","9b4614b2-68e8-45f6-896e-5c33e818e7c1","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-47db-499a-861b-72f54f2239b3","Aktiva Tetap","9b4614b2-68e8-45f6-896e-5c33e818e7c1","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-54b3-48f4-85ed-58f37f9c37ac","Depresiasi & Amortisasi","9b4614b2-68e8-45f6-896e-5c33e818e7c1","investasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-60a0-4ab9-91e6-529e17fe25fe","Aktiva Lainnya","9b4614b2-6a11-4d5e-9c48-092568e69b2c","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-69a4-41d8-9bb4-2219346cf8b0","Akun Hutang","9b4614b2-6a11-4d5e-9c48-092568e69b2c","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-7141-4113-8d89-aa97fb5a9cf5","Kewajiban Lancar Lainnya","9b4614b2-6a11-4d5e-9c48-092568e69b2c","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-769b-4d7f-a4ad-a73c37b0e155","Kewajiban Jangka Panjang","9b4614b2-6a11-4d5e-9c48-092568e69b2c","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-7b2b-4f77-8eb1-573979f52259","Ekuitas","9b4614b2-6b47-4908-b0f7-c7086901da2d","pendanaan","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-8089-4b67-9a49-098629804c46","Pendapatan","9b4614b2-6cb1-42a7-9fee-dc0f02200e0d","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-85ac-47be-8fb1-d6f43eedca19","Harga Pokok Penjualan","9b4614b2-6dc6-426b-a306-a341a568082f","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-8a52-4e9c-a904-f13634ae8faa","Beban","9b4614b2-6ee5-42b7-9d8b-6f8a380996b7","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-8dbb-4645-b70b-a6184a29585a","Pendapatan Lain","9b4614b2-7015-4259-bdc7-227ca7bfea79","operasi","04/08/2023 10.27","04/08/2023 10.27"
"9b461c64-9164-4630-9612-2d84b9d8903f","Beban Lain-lain","9b4614b2-7127-4cfd-a63a-9fa4dba444e3","operasi","04/08/2023 10.27","04/08/2023 10.27"
